model,trial,truth_sine_covariance,rb_normalized_estimate,ramsey_estimate
rtn,93,0.38330514232627905,0.3429334745632382,0.3660244678887795
rtn,94,0.38330514232627905,0.33330313614972934,0.3944870355561024
rtn,95,0.38330514232627905,0.3414780023529773,0.39641420859990156
rtn,96,0.38330514232627905,0.47858002429872043,0.3655544491264764
rtn,97,0.38330514232627905,0.42697672205647147,0.4022716612327756
rtn,98,0.38330514232627905,0.2899006520669291,0.38422159510334647
rtn,99,0.38330514232627905,0.33044193297859253,0.33296552042322836
rtn,100,0.38330514232627905,0.42070283664493113,0.3720260980561024
rtn,101,0.38330514232627905,0.38629703071173715,0.3753777451402559
rtn,102,0.38330514232627905,0.3292805829386073,0.3537809116633858
rtn,103,0.38330514232627905,0.4594923605130413,0.3785909817913386
rtn,104,0.38330514232627905,0.31615970641609253,0.42555921659694884
rtn,105,0.38330514232627905,0.3181688203586368,0.38191763810285434
rtn,106,0.38330514232627905,0.5137600635919045,0.36113108236958663
rtn,107,0.38330514232627905,0.4518019308255413,0.41559366541584647
rtn,108,0.38330514232627905,0.3514868067944144,0.4226343350147638
rtn,109,0.38330514232627905,0.4455172320989173,0.3661648006889764
rtn,110,0.38330514232627905,0.38950209730253443,0.4165481206938976
rtn,111,0.38330514232627905,0.2791132889394685,0.348145492433563
rtn,112,0.38330514232627905,0.2631658118540846,0.33002622108759844
rtn,113,0.38330514232627905,0.41771836168184057,0.4294202909694882
rtn,114,0.38330514232627905,0.28979251891609253,0.39942463551919294
rtn,115,0.38330514232627905,0.32486226239542326,0.33798385980561024
rtn,116,0.38330514232627905,0.34975667638102853,0.40497258704478345
rtn,117,0.38330514232627905,0.3532126118817667,0.4144412063238189
rtn,118,0.38330514232627905,0.2785163939468504,0.39395646222933073
rtn,119,0.38330514232627905,0.292082779050812,0.4103129229207677
rtn,120,0.38330514232627905,0.2751253383366142,0.31241829939714566
rtn,121,0.38330514232627905,0.4253049835445374,0.4108607975516732
rtn,122,0.38330514232627905,0.5228562242402806,0.3939074418676181
rtn,123,0.38330514232627905,0.33502029058501476,0.3964699572465551
